trial,n_balls,k,replan_mode,pickup_radius,kick_radius,method,planned_dist_m,actual_dist_m,savings_m,incidental_rate,n_incidental,n_replans,n_kicks,planning_ms
8,50,4,per_cluster,0.15,0.25,greedy_nn,30.827380677024223,33.60727620198293,-2.779895524958704,0.1,5,6,5,0.4497170157264918
8,50,4,per_cluster,0.15,0.25,nn_2opt,26.845301021865122,26.763562473537114,0.08173854832800842,0.1,5,5,4,15.393071000289638
8,50,4,per_cluster,0.15,0.25,boustrophedon,38.054790960117074,37.089361634357864,0.9654293257592101,0.16,8,3,2,0.035416000173427165
8,50,4,per_cluster,0.15,0.25,simulated_annealing,26.82489256165774,26.80443243045982,0.020460131197921783,0.1,5,5,4,491.9380369974533
8,50,4,per_cluster,0.15,0.25,kmeans_nn_2opt,27.29081599196075,26.94310829657462,0.3477076953861271,0.08,4,6,5,1.9362410021130927
8,50,4,per_cluster,0.15,0.25,kmeans_exact_centroid,27.29081599196075,27.87932217590651,-0.5885061839457606,0.08,4,6,5,2.015170997765381
9,50,4,per_cluster,0.15,0.25,greedy_nn,25.448830969591185,22.28868386862953,3.1601471009616553,0.18,9,4,3,0.2936799937742762
9,50,4,per_cluster,0.15,0.25,nn_2opt,23.635873203724387,20.987782600048934,2.6480906036754526,0.16,8,5,4,6.035257996700238
9,50,4,per_cluster,0.15,0.25,boustrophedon,34.226831615118904,30.738791986661866,3.488039628457038,0.2,10,6,6,0.047570989408995956
9,50,4,per_cluster,0.15,0.25,simulated_annealing,21.38450686298774,21.018994936741866,0.36551192624587614,0.16,8,5,4,284.0693319958518
9,50,4,per_cluster,0.15,0.25,kmeans_nn_2opt,23.63139966081857,23.824059773875312,-0.1926601130567427,0.14,7,6,5,1.394329003232997
9,50,4,per_cluster,0.15,0.25,kmeans_exact_centroid,23.63139966081857,24.29973763253107,-0.6683379717125,0.18,9,3,2,1.103013004467357
10,50,4,per_cluster,0.15,0.25,greedy_nn,25.901168043923747,28.232614806723582,-2.3314467627998354,0.14,7,7,7,0.44015899766236544
10,50,4,per_cluster,0.15,0.25,nn_2opt,25.260010275906136,25.83761048997117,-0.5776002140650327,0.14,7,7,6,8.926839000196196
10,50,4,per_cluster,0.15,0.25,boustrophedon,33.976205521453736,30.75558453291125,3.2206209885424855,0.2,10,8,7,0.09397999383509159
10,50,4,per_cluster,0.15,0.25,simulated_annealing,25.162200917074728,25.05627837261904,0.10592254445568727,0.14,7,7,6,440.72255600622157
10,50,4,per_cluster,0.15,0.25,kmeans_nn_2opt,27.684256162687383,27.505054209762612,0.17920195292477104,0.14,7,7,6,1.8166450099670328
10,50,4,per_cluster,0.15,0.25,kmeans_exact_centroid,27.684256162687383,27.505054209762612,0.17920195292477104,0.14,7,7,6,1.8991510223713703
