cv_thresh_x100,motion_w,min_hsv_x100,bg_var_thresh,conf_x100,track_min_hits,color_w,shape_w,avg_stable,cv_pass_rate,peak_stable,zero_frac,score
12,0,10,100,17,3,6,4,0.204,0.901,1.0,0.013,0.5079
12,0,10,140,17,3,6,4,0.204,0.901,1.0,0.013,0.5079
12,1,10,60,17,3,6,3,0.204,0.901,1.0,0.013,0.5079
12,1,10,100,17,3,6,3,0.204,0.901,1.0,0.013,0.5079
12,1,10,140,17,3,6,3,0.204,0.901,1.0,0.013,0.5079
18,1,10,60,17,3,6,3,0.204,0.901,1.0,0.013,0.5079
18,1,10,100,17,3,6,3,0.204,0.901,1.0,0.013,0.5079
18,1,10,140,17,3,6,3,0.204,0.901,1.0,0.013,0.5079
8,0,15,60,17,2,6,4,0.215,0.867,1.25,0.027,0.5077
8,0,15,100,17,2,6,4,0.215,0.867,1.25,0.027,0.5077
8,0,15,140,17,2,6,4,0.215,0.867,1.25,0.027,0.5077
8,1,15,60,17,2,6,3,0.215,0.867,1.25,0.027,0.5077
8,1,15,100,17,2,6,3,0.215,0.867,1.25,0.027,0.5077
8,1,15,140,17,2,6,3,0.215,0.867,1.25,0.027,0.5077
12,0,15,60,17,2,6,4,0.215,0.867,1.25,0.027,0.5077
12,0,15,100,17,2,6,4,0.215,0.867,1.25,0.027,0.5077
12,0,15,140,17,2,6,4,0.215,0.867,1.25,0.027,0.5077
12,1,15,60,17,2,6,3,0.215,0.867,1.25,0.027,0.5077
12,1,15,100,17,2,6,3,0.215,0.867,1.25,0.027,0.5077
12,1,15,140,17,2,6,3,0.215,0.867,1.25,0.027,0.5077
18,0,15,60,17,2,6,4,0.215,0.867,1.25,0.027,0.5077
18,0,15,100,17,2,6,4,0.215,0.867,1.25,0.027,0.5077
18,0,15,140,17,2,6,4,0.215,0.867,1.25,0.027,0.5077
18,1,15,60,17,2,6,3,0.215,0.867,1.25,0.027,0.5077
18,1,15,100,17,2,6,3,0.215,0.867,1.25,0.027,0.5077
18,1,15,140,17,2,6,3,0.215,0.867,1.25,0.027,0.5077
18,0,6,60,17,3,6,4,0.206,0.874,1.0,0.013,0.4768
18,0,6,100,17,3,6,4,0.206,0.874,1.0,0.013,0.4768
18,0,6,140,17,3,6,4,0.206,0.874,1.0,0.013,0.4768
18,0,10,60,17,3,6,4,0.204,0.87,1.0,0.013,0.4663
18,0,10,100,17,3,6,4,0.204,0.87,1.0,0.013,0.4663
18,0,10,140,17,3,6,4,0.204,0.87,1.0,0.013,0.4663
8,0,15,60,17,3,6,4,0.2,0.867,1.0,0.013,0.452
8,0,15,100,17,3,6,4,0.2,0.867,1.0,0.013,0.452
8,0,15,140,17,3,6,4,0.2,0.867,1.0,0.013,0.452
8,1,15,60,17,3,6,3,0.2,0.867,1.0,0.013,0.452
8,1,15,100,17,3,6,3,0.2,0.867,1.0,0.013,0.452
8,1,15,140,17,3,6,3,0.2,0.867,1.0,0.013,0.452
12,0,15,60,17,3,6,4,0.2,0.867,1.0,0.013,0.452
12,0,15,100,17,3,6,4,0.2,0.867,1.0,0.013,0.452
12,0,15,140,17,3,6,4,0.2,0.867,1.0,0.013,0.452
12,1,15,60,17,3,6,3,0.2,0.867,1.0,0.013,0.452
12,1,15,100,17,3,6,3,0.2,0.867,1.0,0.013,0.452
12,1,15,140,17,3,6,3,0.2,0.867,1.0,0.013,0.452
18,0,15,60,17,3,6,4,0.2,0.867,1.0,0.013,0.452
18,0,15,100,17,3,6,4,0.2,0.867,1.0,0.013,0.452
18,0,15,140,17,3,6,4,0.2,0.867,1.0,0.013,0.452
18,1,15,60,17,3,6,3,0.2,0.867,1.0,0.013,0.452
18,1,15,100,17,3,6,3,0.2,0.867,1.0,0.013,0.452
18,1,15,140,17,3,6,3,0.2,0.867,1.0,0.013,0.452
8,0,6,60,22,2,6,4,0.215,0.666,1.0,0.023,0.2065
8,0,6,100,22,2,6,4,0.215,0.666,1.0,0.023,0.2065
8,0,6,140,22,2,6,4,0.215,0.666,1.0,0.023,0.2065
8,1,6,60,22,2,6,3,0.215,0.666,1.0,0.023,0.2065
8,1,6,100,22,2,6,3,0.215,0.666,1.0,0.023,0.2065
8,1,6,140,22,2,6,3,0.215,0.666,1.0,0.023,0.2065
12,1,6,60,22,2,6,3,0.215,0.666,1.0,0.023,0.2065
12,1,6,100,22,2,6,3,0.215,0.666,1.0,0.023,0.2065
12,1,6,140,22,2,6,3,0.215,0.666,1.0,0.023,0.2065
18,1,6,60,22,2,6,3,0.215,0.666,1.0,0.023,0.2065
18,1,6,100,22,2,6,3,0.215,0.666,1.0,0.023,0.2065
18,1,6,140,22,2,6,3,0.215,0.666,1.0,0.023,0.2065
12,0,6,60,22,2,6,4,0.213,0.664,1.0,0.023,0.1986
12,0,6,100,22,2,6,4,0.213,0.664,1.0,0.023,0.1986
12,0,6,140,22,2,6,4,0.213,0.664,1.0,0.023,0.1986
18,0,6,60,22,2,6,4,0.213,0.664,1.0,0.023,0.1986
